CENPE,KRAS
GDPD4,KRAS
CPSF2,KRAS
SH3PXD2B,KRAS
SH3TC2,KRAS
KIAA0355,KRAS
MUC17,KRAS
DCXR,KRAS
SSR3,KRAS
CA12,KRAS
SEC14L3,KRAS
POLR3B,KRAS
A2M,KRAS
FGL2,KRAS
OR4K1,KRAS
SAE1,KRAS
ASB10,KRAS
CIR1,KRAS
CHSY3,KRAS
HOXB13,KRAS
KBTBD3,KRAS
PHF7,KRAS
SPHK1,KRAS
ISG20L2,KRAS
MAFG,KRAS
IL1RL2,KRAS
CNOT9,KRAS
FGD1,KRAS
CRELD2,KRAS
NRXN1,KRAS
AAR2,KRAS
IL26,KRAS
PTPN1,KRAS
POLR2H,KRAS
DHX8,KRAS
SHTN1,KRAS
CBS,KRAS
ENPP5,KRAS
CENPO,KRAS
APOC1,KRAS
GBGT1,KRAS
C1R,KRAS
ELP5,KRAS
ADCY8,KRAS
GTF2B,KRAS
MMUT,KRAS
METTL14,KRAS
VMP1,KRAS
PPP3R1,KRAS
ARF4,KRAS
RASL11A,KRAS
URI1,KRAS
NOL8,KRAS
NDE1,KRAS
FUT3,KRAS
PLXNB1,KRAS
HSCB,KRAS
IBTK,KRAS
MCM3AP,KRAS
DOCK5,KRAS
KHDRBS3,KRAS
GPATCH2,KRAS
FBXO44,KRAS
IRAK3,KRAS
SULT1B1,KRAS
RNF41,KRAS
MYO1E,KRAS
ADPRS,KRAS
SPOUT1,KRAS
RRP9,KRAS
SMC4,KRAS
GRHL2,KRAS
MVP,KRAS
IARS1,KRAS
UBB,KRAS
GRM8,KRAS
RAP1A,KRAS
PRTN3,KRAS
ZFC3H1,KRAS
NARS2,KRAS
GRTP1,KRAS
COPS5,KRAS
NCAPG,KRAS
SCN8A,KRAS
CBR3,KRAS
LIPG,KRAS
NBEAL1,KRAS
VPS52,KRAS
CCAR2,KRAS
PIN1,KRAS
MAP4K1,KRAS
PLA2G2A,KRAS
OR10AG1,KRAS
KNL1,KRAS
CTNS,KRAS
ALLC,KRAS
BCL2L1,KRAS
WDR3,KRAS
TMEM135,KRAS
TCOF1,KRAS
NDN,KRAS
ZFP37,KRAS
THOC1,KRAS
SNAP23,KRAS
BFAR,KRAS
ATP13A4,KRAS
LY6G6C,KRAS
CD96,KRAS
PMF1,KRAS
KCNG3,KRAS
SEC13,KRAS
COPS4,KRAS
C3ORF33,KRAS
GALNT15,KRAS
OLIG2,KRAS
DHX38,KRAS
FAM9B,KRAS
KIF4A,KRAS
FADS2,KRAS
BTBD1,KRAS
COL5A3,KRAS
ELP1,KRAS
DES,KRAS
BLM,KRAS
HOXD1,KRAS
CCDC171,KRAS
ATP9A,KRAS
MAD2L1,KRAS
CUX1,KRAS
RHBDL2,KRAS
BTBD11,KRAS
KIF14,KRAS
AR,KRAS
MAGED4,KRAS
TGIF2,KRAS
RTN2,KRAS
AMPH,KRAS
CCIN,KRAS
CCDC14,KRAS
ZNF695,KRAS
CASQ1,KRAS
SF3A1,KRAS
PSMB5,KRAS
UPF1,KRAS
POLG,KRAS
HEMK1,KRAS
ARPC5L,KRAS
PSMA4,KRAS
IL1RAP,KRAS
CCT8,KRAS
CS,KRAS
ERH,KRAS
FCGBP,KRAS
CILK1,KRAS
FLYWCH1,KRAS
UBE2Z,KRAS
GNL3L,KRAS
CELF5,KRAS
DNAJC5G,KRAS
G3BP1,KRAS
DCLK3,KRAS
ZNF556,KRAS
CSTF1,KRAS
RPL30,KRAS
NAGS,KRAS
PI3,KRAS
DSCAM,KRAS
BMPR1A,KRAS
XRCC1,KRAS
DDX43,KRAS
GPR61,KRAS
KIF11,KRAS
ASPH,KRAS
SPAST,KRAS
C3ORF35,KRAS
FRMPD1,KRAS
DCLK2,KRAS
ASCC3,KRAS
ABCC4,KRAS
GML,KRAS
MID1,KRAS
PXDC1,KRAS
TCTE3,KRAS
TSSK1B,KRAS
MNDA,KRAS
PSEN1,KRAS
CNGA2,KRAS
LTK,KRAS
HSPA14,KRAS
GPX4,KRAS
NCKIPSD,KRAS
CALML4,KRAS
SPTBN5,KRAS
UBAC2,KRAS
GMPPB,KRAS
SLC2A2,KRAS
NECAB2,KRAS
PAMR1,KRAS
SLC35G2,KRAS
SNTB2,KRAS
USP30,KRAS
CFL1,KRAS
LRRC10,KRAS
POLR2J,KRAS
ECH1,KRAS
PEX11A,KRAS
EIF2AK2,KRAS
FAM167A,KRAS
BCL2L13,KRAS
ZC3H10,KRAS
IL24,KRAS
RGS20,KRAS
POGLUT2,KRAS
C6,KRAS
CASS4,KRAS
DDX52,KRAS
KLHL25,KRAS
SERPINI1,KRAS
