,All_Type
L3MBTL2-POLR2F,0
NUP107-TTC38,0
KCTD10-MRPS9,0
HDHD2-TXNL1,0
ABCC10-DLGAP4,0
LTBR-SIAE,0
RPL13-TFB1M,0
MDC1-PRR3,0
MAPK3-MMP25,1
NAE1-PRKCA,0
ARID4B-RCOR3,0
BIRC5-KSR1,1
CCT2-TRIP11,0
RAE1-ROMO1,0
ACOX3-CDC25B,0
KIFC3-NCOA2,0
CYP1B1-ILK,0
ECT2-RACGAP1,1
CTNNA1-GNS,0
MAPKAPK3-RRM1,0
ALDH2-ATAD5,0
MAPK1-XIAP,0
TMEM165-ARPC2,0
PDE1B-RALY,0
ASCC3-NACA,0
ACAD9-AQP9,0
EFR3A-NUP54,0
MED17-TMEM135,0
HIP1-MTMR14,0
MUS81-FZD1,0
CSTF3-INTS5,0
CXCL8-NRAS,0
KRAS-SEC23B,0
CYBRD1-ZNF408,0
BLM-HUS1,0
IRF7-PTGS1,0
CDA-CFLAR,0
ACP1-PNO1,0
MAPK14-MAPK3,0
CLIC1-KLF10,0
PTPN12-TSSC4,0
AUP1-RFTN1,0
WAS-MS4A6A,0
ACSL1-GMPS,0
HCCS-TTC4,0
MTG2-MAN2A1,0
MZT1-RPS5,0
COX5A-MED23,0
TAF4-TNFSF13B,0
MUS81-PHF5A,0
ADIPOR1-PPM1M,0
FAM50A-NUP54,0
ITPR1-SLCO4A1,0
PMS2-RPL13A,0
NRAS-STAT1,0
MYC-ULK2,0
POLD1-CSNK1G2,0
S100A6-TNIK,0
NRAS-SH3PXD2B,0
PPM1L-BRCA1,0
ARAP1-SDCBP,0
FH-WARS2,0
BCAT2-PRKDC,0
MMS19-NAE1,0
POLD4-SSBP1,0
KRAS-CDKN1C,0
KRAS-WWP2,0
NR4A3-PTEN,0
BCL2-BCL2L11,0
SMPD1-CD63,0
PNPLA2-TSC22D2,0
FLI1-MLH1,0
HRAS-USP49,1
PTCD1-VIM,1
AVPI1-SGMS2,0
CLMN-KRAS,0
DCBLD1-STAT6,0
INTS3-RNGTT,0
KIF1C-ZKSCAN5,0
AK9-SLCO4A1,1
DDX46-ZNF830,0
POC5-TAF9,0
MED1-MRPS35,0
NBEAL2-PPP2R5A,0
COX6C-NACA,0
PARP1-ZBED4,0
CSRNP1-NRAS,0
S100B-SPATA2,0
CRTAP-GALNT3,0
RPL13-ZNF598,0
IKZF2-NRAS,1
LRCH4-RB1,0
KRAS-CSRNP1,0
YWHAZ-TP53,0
MAPKAP1-RAE1,0
PTEN-PARP1,0
BUD13-HINFP,0
FZR1-NAE1,0
KRAS-GAB1,0
POLD4-RAD23B,0
FARSA-OGFOD1,0
MAP3K11-PARP1,0
CREBBP-FLI1,0
MUS81-EIF4E3,0
MUS81-DDB2,0
FBXW7-B3GALNT2,0
GPATCH2-HRAS,0
CHD7-FZD2,1
PNKP-STRN4,0
ABCC10-STAT4,0
ACHE-LRRC42,1
EIF4G2-HRAS,0
TRIM24-BRCA1,0
ZNF227-TMEM126B,0
EGLN2-RREB1,0
HRAS-TBCD,0
EXT1-HMOX2,0
ZNF598-ZNF800,0
PIAS4-DCTN1,0
NOL9-TRMT5,0
HRAS-RAB22A,0
SMC1A-SMC3,0
FARSB-TTC4,0
CREG1-MBOAT7,0
GCNT2-TMSB10,0
MTX2-RGS16,0
BCR-ZP3,0
CASP3-RPS6KB1,0
TOP1-TP53,0
PCBP1-TXLNA,0
MTBP-RPS5,1
BLM-ZNF747,0
APC-BAX,0
MMP19-TWISTNB,0
GBGT1-NRAS,0
BCL2L1-MEF2C,0
GTF2H4-SNRNP200,0
CHMP2A-WDR61,0
PHF20-SPI1,0
PIGV-RNF24,0
ADAM15-NUDT15,0
PARP1-POLD4,0
ATP6V1G1-VPS29,0
MUS81-RAD17,0
MUS81-ZFP1,1
TOP1-RAD17,0
FAF1-ITGB3BP,0
PTTG1-IKZF4,1
AKT1-BRAF,0
RRM1-STAT4,0
KRAS-ZNHIT6,0
NARS2-DDX10,0
BLM-ATP2B1,0
ABL1-S100A11,0
CHEK2-CDC14A,0
DHX38-HRAS,0
MTRF1L-FH,0
CSK-CD3D,1
MUS81-PARN,0
BCL2L1-CHEK1,1
HMGA1-PRKAA1,0
NAE1-SLC36A4,0
SULT1A3-TMEM131,1
HUS1-NUDC,0
HRAS-RPL17,0
MRPS5-SLC26A2,0
NDN-NRAS,1
ARID1B-NINJ2,0
WEE1-FH,1
NUB1-PPARD,0
MFI2-SEC63,0
COPS5-PPP2R1A,0
BRMS1-FGD4,0
BRCA2-SYNE2,1
PTEN-CPPED1,0
KRAS-EIF4A3,0
DNAJB2-NRAS,0
BLM-ZFPM1,1
IL15-TSC22D2,0
ZNF780A-MSH2,0
ARIH1-EIF3D,0
TOP1-MAP3K4,0
CAPNS1-DUSP18,0
CDK6-MYC,0
PIK3CB-BRCA1,0
KRAS-RAD54L2,0
CHCHD3-JMJD1C,0
RNF10-SERPINA1,0
CNPY3-TAF2,0
